操作数
06:00,06:01,06:02,06:03,06:04,06:05,06:06,06:07,06:08,06:09,06:10,06:11,06:12,06:13,06:14,06:15,06:16,06:17,06:18,06:19,06:20,06:21,06:22,06:23,06:24,06:25,06:26,06:27,06:28,06:29,06:30,06:31,06:32,06:33,06:34,06:35,06:36,06:37,06:38,06:39,06:40,06:41,06:42,06:43,06:44,06:45,06:46,06:47,06:48,06:49,06:50,06:51,06:52,06:53,06:54,06:55,06:56,06:57,06:58,06:59,07:00,07:01,07:02,07:03,07:04,07:05,07:06,07:07,07:08,07:09,07:10,07:11,07:12,07:13,07:14,07:15,07:16,07:17,07:18,07:19,07:20,07:21,07:22,07:23,07:24,07:25,07:26,07:27,07:28,07:29,07:30,
1821055,0,0,0,0,0,0,27,0,0,0,0,68,2,0,59,52,0,0,0,0,0,0,0,0,14,69,0,0,78,79,18,88,0,0,0,0,0,0,0,0,0,0,0,51,100,2,0,0,0,0,0,0,0,5,81,95,99,107,100,122,91,18,0,41,35,0,76,57,28,2,28,0,0,30,1,35,0,84,83,29,63,17,15,63,16,39,111,9,0,欠,欠,
1821058,5,1,0,0,0,17,27,0,0,45,0,38,2,0,151,0,0,72,0,0,0,0,0,12,80,0,0,120,50,24,115,0,0,0,46,16,0,0,0,0,0,0,0,100,0,4,0,0,0,0,64,118,141,0,62,3,0,0,2,0,35,0,69,0,0,62,0,0,99,34,0,28,0,0,39,0,0,0,0,0,0,28,82,0,4,164,0,0,0,0,欠,
1821063,欠,欠,欠,欠,欠,133,3,27,5,0,2,75,0,0,271,80,0,167,12,0,0,0,0,0,150,0,0,227,36,0,129,0,0,0,43,27,0,0,0,0,8,0,14,178,0,0,0,0,0,0,0,78,27,25,35,0,0,0,欠,22,45,125,0,2,0,95,1,0,48,0,0,44,100,2,52,0,0,0,0,0,19,7,0,106,0,260,31,0,欠,欠,欠,
1821066,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,
1821068,欠,欠,欠,0,2,0,43,0,17,25,5,54,0,12,185,0,2,106,0,0,1,0,0,2,140,4,0,123,112,4,87,0,0,0,37,0,0,8,28,2,0,2,27,68,0,1,0,0,21,20,36,119,176,140,148,88,0,0,16,0,40,52,22,70,0,43,41,8,25,3,0,54,3,0,42,0,16,28,52,107,37,46,46,0,2,170,115,3,欠,欠,欠,
1821071,0,1,5,0,0,1,42,0,9,61,1,24,0,1,88,0,75,欠,59,0,1,0,19,125,65,31,2,22,86,0,74,0,0,0,16,0,0,3,0,0,22,0,2,53,52,10,0,0,1,0,6,98,108,71,92,0,0,0,0,6,8,0,0,84,27,28,31,13,114,57,20,46,97,80,1,98,1,0,0,1,0,0,42,72,0,80,73,0,欠,欠,欠,
1821072,3,38,12,0,8,0,4,33,25,0,12,33,0,19,59,0,欠,欠,81,0,0,9,1,1,87,27,5,31,58,0,72,0,0,0,32,0,0,0,66,29,0,0,74,67,53,41,0,0,0,0,52,105,96,92,42,0,33,24,26,26,18,14,14,0,0,52,14,0,49,0,4,45,11,8,31,46,56,39,84,75,43,32,3,1,10,121,4,0,欠,欠,欠,
1821073,欠,欠,17,0,0,1,39,5,21,20,10,23,0,0,70,33,0,49,25,0,0,2,0,0,64,16,1,53,77,22,92,63,0,0,13,0,0,10,18,0,2,0,2,112,75,0,0,0,8,11,40,65,125,91,46,2,2,0,0,38,0,26,6,77,41,0,111,0,62,0,1,2,38,1,38,23,欠,欠,8,11,42,0,0,0,0,0,0,0,欠,欠,欠,
1821074,欠,欠,欠,欠,欠,欠,13,3,19,0,30,欠,0,9,欠,122,欠,欠,16,85,6,0,0,0,12,90,0,0,112,43,6,83,0,0,0,0,0,0,0,0,0,欠,欠,欠,55,80,0,0,0,4,0,48,80,138,126,62,0,0,0,0,17,0,0,88,35,13,76,0,29,11,0,4,63,0,22,8,0,0,0,0,0,0,0,0,0,2,0,0,2,100,欠,
1821075,欠,欠,欠,欠,欠,欠,32,0,0,44,1,0,欠,46,123,15,0,68,15,0,0,2,0,0,19,77,1,0,113,92,167,21,0,0,0,36,0,1,11,0,4,4,0,97,4,0,0,0,0,0,0,0,83,136,177,245,69,0,12,137,0,0,0,98,180,27,122,0,0,3,0,0,94,34,31,0,0,0,0,0,0,0,106,0,0,100,132,0,欠,欠,欠,
