操作数
06:00,06:01,06:02,06:03,06:04,06:05,06:06,06:07,06:08,06:09,06:10,06:11,06:12,06:13,06:14,06:15,06:16,06:17,06:18,06:19,06:20,06:21,06:22,06:23,06:24,06:25,06:26,06:27,06:28,06:29,06:30,06:31,06:32,06:33,06:34,06:35,06:36,06:37,06:38,06:39,06:40,06:41,06:42,06:43,06:44,06:45,06:46,06:47,06:48,06:49,06:50,06:51,06:52,06:53,06:54,06:55,06:56,06:57,06:58,06:59,07:00,07:01,07:02,07:03,07:04,07:05,07:06,07:07,07:08,07:09,07:10,07:11,07:12,07:13,07:14,07:15,07:16,07:17,07:18,07:19,07:20,07:21,07:22,07:23,07:24,07:25,07:26,07:27,07:28,07:29,07:30,
1821076,欠,欠,欠,欠,欠,欠,7,72,26,91,1,20,46,2,2,10,148,0,0,47,58,0,3,0,0,0,0,76,72,0,84,0,1,0,34,134,0,0,1,0,1,0,2,42,1,35,0,52,1,62,欠,85,124,94,0,0,0,0,欠,0,37,80,58,12,80,0,13,0,70,0,0,59,63,151,0,0,88,1,0,0,0,2,0,0,74,160,50,0,0,欠,欠,
1821077,6,0,0,0,0,0,0,0,2,0,95,47,17,45,2,0,0,71,66,0,40,116,0,0,28,68,60,77,14,0,0,93,0,1,0,17,94,0,5,0,0,4,1,0,30,2,39,1,53,15,58,131,89,118,17,0,0,0,0,0,0,88,1,58,0,64,0,18,0,32,58,0,61,74,152,59,0,25,51,2,0,1,78,75,51,111,92,欠,欠,欠,欠,
1821078,欠,欠,欠,3,0,0,54,10,70,56,101,56,89,61,88,115,128,66,141,5,18,108,90,80,113,76,1,0,136,119,132,111,143,150,52,97,117,141,28,0,32,135,96,0,7,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,
1821079,96,105,107,44,55,59,17,47,49,59,46,59,41,87,42,48,41,59,84,69,46,101,122,85,100,110,47,25,0,0,0,0,0,0,0,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,
1821080,42,70,142,137,118,125,98,115,156,109,84,133,135,145,132,136,100,0,0,0,0,0,0,0,0,0,0,12,2,0,1,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,
1821081,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,
1821084,22,7,1,58,20,0,41,欠,53,88,82,79,103,64,63,69,27,66,59,0,0,83,63,18,38,69,96,74,113,105,94,91,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,欠,
1821085,欠,欠,欠,欠,欠,3,5,1,0,110,4,欠,80,0,0,2,141,0,0,69,25,4,42,83,13,0,0,120,0,2,108,0,3,欠,12,121,2,0,1,4,1,0,4,41,0,36,0,2,50,0,0,2,0,0,0,欠,欠,欠,欠,欠,欠,欠,欠,欠,61,0,0,0,0,0,0,0,0,0,0,0,6,118,118,196,209,199,206,60,95,欠,83,0,3,欠,欠,
1821086,欠,欠,欠,欠,欠,欠,欠,欠,8,欠,0,131,227,86,1,100,250,66,209,209,299,229,231,266,71,92,198,37,1,1,38,0,0,0,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,
1821087,0,0,0,0,0,0,0,2,41,155,2,109,0,0,4,0,219,3,1,147,8,0,20,33,49,58,0,19,2,0,174,0,1,0,167,27,7,0,3,1,0,0,0,41,1,38,2,92,2,41,74,77,52,0,0,0,0,0,0,57,91,111,27,111,74,2,23,0,28,108,102,0,209,183,0,50,93,2,1,2,8,55,19,0,76,1,1,0,欠,欠,欠,
