時間
1229,1230,1231,1232,1233,1234,1235,1260,1261,1262,1263,1264,1265,1266,1267,1297,1298,1299,1300,1282,1283,1284,1285,1286,1287,1288,1294,1295,1296,1301,1303,1304,1305,1306,
1821102,-289,-283,-276,-272,-265,-259,-246,-295,-186,-284,-330,-281,-314,-310,-306,-302,-299,-293,-287,-904,-899,-895,-885,-848,-773,-770,-752,-719,-739,-747,-910,-908,-904,-899,
1821104,-2,9,12,15,18,34,30,-194,30,-253,-204,7,13,19,26,-607,-625,-616,-531,-765,-761,-758,-751,-730,-607,-604,-581,-561,-558,-557,-1035,-1033,-1030,-1021,
1821105,385,394,396,399,420,423,424,867,713,738,762,735,739,748,752,-88,-77,-72,-68,159,180,165,167,168,172,174,144,147,151,152,-13,-10,-7,-4,
1821106,14,18,22,26,30,38,44,81,85,178,205,66,71,77,83,-125,-91,-79,-24,63,79,65,68,69,73,74,52,55,56,57,-32,-29,-27,-23,
1821107,-190,-144,-148,-175,-164,-161,-158,-321,-306,-282,-221,-128,-115,-111,-100,-567,-545,-540,-527,-403,-398,-394,-383,-338,-307,-305,-252,-242,-261,-258,-357,-354,-352,-349,
1821108,-1213,-1201,-1195,-1187,-1182,-1175,-1172,-2419,-2388,-2405,-2417,-2423,-2418,-2437,-2432,-3157,-3152,-3142,-3147,-3324,-3300,-3322,-3303,-3298,-3295,-3290,-3367,-3363,-3359,-3357,-3264,-3262,-3260,-3252,
1821111,-1122,-1117,-1113,-1100,-1096,-1091,-1082,-2410,-2334,-2339,-2326,-2395,-2387,-2408,-2382,-3162,-3115,-3140,-3112,-3265,-3263,-3261,-3254,-3233,-3218,-3212,-3340,-3337,-3327,-3325,-3404,-3400,-3398,-3392,
1821119,1511,1515,1519,1525,1558,1538,1501,516,545,557,565,504,495,478,485,190,202,208,211,-0.999,-0.999,-0.999,-0.999,-0.999,-0.999,-0.999,71,76,81,82,147,149,152,155,
1821120,-166,-160,-155,-152,-135,-141,-105,-182,-177,-290,-134,-315,-403,-392,-346,-147,-143,-169,-164,6,3,8,23,17,60,63,-89,-77,-59,-47,-44,-40,-21,-13,
1821121,-2161,-2159,-2144,-2142,-2136,-2133,-2133,-3510,-3494,-3490,-3487,-3598,-3593,-3590,-3586,-4355,-4344,-4339,-4327,-4536,-4533,-4530,-4526,-4501,-4496,-4493,-4481,-4479,-4477,-4475,-4641,-4640,-4637,-4633,
1821122,-178,-175,-170,-166,-159,-153,-144,16,85,25,33,265,267,212,274,66,71,79,88,-54,-31,-22,-19,14,17,19,-142,-137,-135,-134,-153,-150,-147,-138,
1821123,10,15,19,25,31,35,44,161,183,190,194,58,64,69,76,-136,-133,-126,-121,15,19,23,27,31,35,39,-75,46,50,51,-146,-144,-141,-136,
1821127,-166,-163,-161,-155,-154,-150,-147,-212,-204,-200,-197,-330,-321,-314,-309,-253,-242,-237,-230,-453,-442,-446,-444,-441,-438,-435,-467,-465,-463,-461,-620,-616,-615,-613,
1821130,-174,-154,-151,-147,-104,-99,-127,-309,-216,-306,-266,233,227,183,187,-236,-254,-145,-249,-74,23,18,27,30,35,39,-104,-102,-92,-86,-667,-664,-660,-653,
1821131,-1609,-1606,-1599,-1596,-1579,-1508,-1494,-1347,-1594,-1638,-1627,-1436,-1444,-1449,-1634,-3394,-3385,-3366,-2137,-501,-499,-489,-484,-482,-448,-442,-3542,-3538,-3535,-3534,-2574,-2568,-2565,-2561,
1821132,-190,-187,-180,-163,-160,-151,-144,-263,-251,-221,-248,-221,-216,-211,-208,-75,47,55,62,-129,-105,-95,-88,-82,-49,-47,-33,-21,-17,-14,-193,-191,-188,-183,
1821133,563,566,569,576,585,589,594,-762,-731,-738,-746,-831,-829,-843,-838,-1558,-1554,-1544,-1551,-1724,-1714,-1720,-1726,-1607,-1636,-1493,-1769,-1765,-1762,-1761,-1666,-1665,-1662,-1660,
1821134,478,482,486,537,498,502,507,29,63,73,89,21,26,34,40,-165,56,63,72,2,36,9,15,19,24,28,60,69,90,118,-444,-19,-16,-10,
1821136,79933,79937,79940,79945,79949,79959,79962,78572,78581,78588,78593,78457,78468,78473,78478,77677,77682,77694,77699,77480,77483,77486,77489,77492,77495,77498,77463,77467,77471,77473,77286,77289,77294,77298,
1821137,-20293,-20288,-20282,-20277,-20270,-20257,-20252,-21564,-21552,-21568,-21576,-21571,-21562,-21609,-21621,-22321,-22309,-22311,-22306,-22378,-22362,-22358,-22369,-22351,-22348,-22345,-22532,-22530,-22528,-22495,-22679,-22677,-22675,-22683,
1821138,599863,599865,599859,599875,599877,599885,599886,598418,598424,598438,598441,598301,598308,598316,598321,597492,597494,597499,597501,597278,597284,597283,597285,597285,597287,597288,597264,597267,597268,597272,597073,597074,597077,597080,
1821139,-178,-175,-172,-77,-151,-146,-141,-237,-267,-258,-249,37,43,57,62,-174,-166,-142,-137,-98,-95,-93,-88,-75,-69,-67,-121,-119,-107,-107,-32,-24,-14,18,
1821140,-613,-594,-585,-560,-552,-510,-508,-1735,-1637,-1599,-1628,-1534,-1527,-1512,-1487,-2238,-2214,-2173,-2151,-2288,-2284,-2278,-2269,-2247,-1999,-1994,-2388,-2351,-2325,-2306,-2025,-1947,-1943,-2120,
1821141,-978,-972,-971,-967,-964,-960,-959,-660,-595,-643,-669,-730,-663,-722,-672,-228,-200,-189,-182,-408,-402,-384,-395,-335,-328,-325,-323,-319,-316,-311,-517,-502,-499,-496,
1821142,-165,-163,-103,-100,-144,-135,-125,-260,-210,-229,-217,-203,-233,-135,-195,-155,-127,-144,-124,-330,-326,-314,-308,-292,-284,-278,-343,-251,-248,-247,-449,-447,-444,-443,
1821145,-307,-303,-296,-288,-281,-274,-235,-273,32,-254,-260,92,103,106,110,16,20,25,29,-12,31,34,40,43,50,54,-3,12,15,19,78,81,85,91,
1821147,-219,-204,-200,-194,-161,-156,-145,13,29,42,47,7,17,21,27,-121,-112,-103,-108,5,15,18,20,23,26,29,-109,-107,-105,-101,-154,-153,-151,-146,
1821148,-194,-190,-187,-184,-181,-177,-174,-233,-221,-213,-210,6,10,18,24,-181,-179,-174,-158,-94,-90,-87,-83,-81,-75,-73,-129,-125,-123,-122,-36,-33,-22,-19,
1821150,-94,-111,-105,-102,-90,-86,-82,36,42,72,77,23,29,37,48,-236,-142,-131,-63,101,127,106,110,113,117,121,87,89,93,95,-27,-22,-19,-14,
1821152,-184,-173,-169,-165,-145,-148,-136,-244,-37,-216,-61,22,27,33,40,-154,-92,-108,-96,7,9,9,12,11,15,17,19,20,20,21,-33,-26,-25,-21,
1821154,-139,-132,-121,-117,-109,-82,-77,329,338,349,353,216,222,231,237,-60,-56,-48,-42,-261,-257,-255,-253,-250,-248,-246,-243,-239,-234,-232,-441,-436,-433,-424,
1821155,506658,506661,506667,506786,506790,506795,506798,505497,505503,505547,505552,505417,505423,505432,505513,504706,504710,504716,504721,504505,504509,504512,504515,504518,504521,504525,504489,504492,504497,504499,504313,504316,504321,504326,
1821156,44,50,55,58,62,68,71,1147,1159,1165,1170,1034,1043,1054,1061,297,301,306,310,125,126,127,110,112,115,118,86,88,91,92,-37,-35,-30,-28,
1821158,520626,520629,520632,520640,520643,520646,520649,519339,520687,520706,520712,520576,520581,520590,520600,519816,519818,519826,519829,519609,519613,519615,519618,519619,519621,519624,519595,519598,519600,519601,519413,519414,519417,519430,
1821159,-182,-152,-145,-142,-126,-123,-121,-332,-314,-328,-44,-153,30,33,39,-156,-145,-137,-87,-281,-278,-275,-269,-223,-205,-202,-192,-183,-174,-167,-325,-323,-313,-310,
1821160,-182,-180,-148,-143,-140,-172,-128,-210,-241,-218,-177,-230,-208,-243,-201,-113,-83,-144,-120,-266,-251,-262,-255,-88,12,14,-233,-137,-132,-112,-139,-137,-135,-131,
1821163,8,-350,16,19,22,24,26,40,49,57,60,11,35,39,43,49,52,55,59,-123,-120,-117,-111,-95,-50,-47,-39,-11,-7,-6,-9,-3,-1,0,
1821166,
