操作数
06:00,06:01,06:02,06:03,06:04,06:05,06:06,06:07,06:08,06:09,06:10,06:11,06:12,06:13,06:14,06:15,06:16,06:17,06:18,06:19,06:20,06:21,06:22,06:23,06:24,06:25,06:26,06:27,06:28,06:29,06:30,06:31,06:32,06:33,06:34,06:35,06:36,06:37,06:38,06:39,06:40,06:41,06:42,06:43,06:44,06:45,06:46,06:47,06:48,06:49,06:50,06:51,06:52,06:53,06:54,06:55,06:56,06:57,06:58,06:59,07:00,07:01,07:02,07:03,07:04,07:05,07:06,07:07,07:08,07:09,07:10,07:11,07:12,07:13,07:14,07:15,07:16,07:17,07:18,07:19,07:20,07:21,07:22,07:23,07:24,07:25,07:26,07:27,07:28,07:29,07:30,
1821054,欠,4,2,2,2,2,2,2,2,4,5,5,5,6,6,6,6,6,6,7,7,7,8,4,8,8,8,8,8,8,9,9,10,10,11,11,11,11,12,13,13,13,13,13,14,15,15,16,22,11,11,17,17,16,9,17,17,17,17,18,18,19,19,20,21,21,21,21,22,22,23,23,24,24,24,25,25,27,25,25,27,27,27,27,27,27,欠,欠,欠,欠,欠,
1821055,4,4,4,4,4,4,4,4,4,4,4,5,5,6,6,6,6,6,7,7,7,8,8,8,5,6,8,9,9,9,9,11,11,11,11,11,12,12,13,12,13,13,13,14,14,15,16,15,17,11,16,9,17,17,17,17,17,17,17,18,19,19,20,20,20,21,21,22,22,22,23,23,24,24,25,25,25,25,27,27,27,27,27,27,27,27,27,14,15,欠,欠,
1821063,欠,欠,欠,欠,欠,欠,欠,欠,1,4,4,5,5,6,6,6,6,6,7,7,7,7,7,8,8,8,8,8,8,8,9,10,11,11,11,11,14,14,14,14,14,14,14,14,15,15,16,16,17,17,17,17,17,18,18,18,18,18,18,18,18,18,19,20,21,21,22,22,22,23,23,24,24,24,25,25,27,21,27,27,27,27,27,27,27,27,27,27,27,18,欠,
1821066,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,
1821068,1,1,1,1,1,1,1,2,3,4,4,5,5,5,5,5,6,6,6,7,7,7,7,8,7,8,8,8,8,8,9,9,10,10,10,11,11,11,12,12,13,13,13,13,14,15,15,16,16,17,17,14,10,17,17,17,17,17,17,17,18,18,19,20,19,20,21,21,22,22,23,23,24,24,24,25,25,25,25,27,24,22,25,27,27,26,27,27,27,欠,欠,
1821071,欠,欠,4,4,4,4,4,4,4,4,4,5,5,5,4,6,6,6,6,7,7,7,4,7,8,欠,6,8,8,8,9,9,10,10,10,11,11,11,12,12,13,13,13,13,14,15,15,16,17,17,17,17,17,17,17,17,17,17,17,17,18,18,19,19,20,21,20,21,22,22,22,23,24,24,24,24,25,25,22,26,26,17,8,27,27,27,27,27,27,欠,欠,
1821072,欠,欠,欠,欠,4,4,4,4,4,4,5,5,6,6,6,6,6,7,7,7,7,5,8,8,8,8,8,8,9,9,9,11,11,11,11,11,14,16,17,13,11,17,18,18,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18,19,20,20,21,21,22,22,22,19,23,24,24,24,25,25,27,21,22,27,24,24,24,27,27,27,欠,9,12,欠,欠,
1821073,欠,欠,欠,1,1,1,3,3,4,4,4,5,6,6,6,6,6,6,6,7,7,7,8,8,7,8,8,8,8,9,9,9,10,11,11,11,11,11,12,12,13,13,14,14,16,16,16,17,17,11,15,13,9,18,18,18,17,17,17,18,18,19,19,20,20,20,21,21,22,22,23,23,24,24,24,25,25,25,27,18,27,欠,欠,20,22,24,27,27,24,欠,欠,
1821074,4,欠,4,4,5,5,6,6,5,欠,7,7,7,8,9,11,11,11,11,11,14,16,17,17,17,17,17,17,欠,欠,欠,欠,17,17,17,18,18,19,19,19,20,22,23,23,23,23,23,24,24,24,24,25,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,欠,欠,欠,欠,欠,
1821075,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,5,6,7,7,7,7,8,8,8,8,8,8,8,9,9,9,11,11,11,11,11,14,14,14,14,14,14,14,14,14,15,16,16,17,17,17,17,17,17,17,17,17,17,18,18,18,18,18,21,21,21,21,21,22,23,23,24,24,24,25,25,25,27,27,27,27,27,27,27,27,27,27,27,欠,欠,欠,
1821076,欠,欠,欠,欠,欠,欠,3,4,4,4,5,5,5,5,5,6,6,6,6,7,7,7,8,8,8,8,8,8,9,9,9,9,10,10,11,11,11,11,12,12,13,13,13,14,15,16,16,16,17,13,欠,17,13,17,17,17,17,17,欠,17,18,18,19,20,20,20,21,21,22,22,22,23,24,24,24,24,25,25,25,25,25,27,27,27,27,27,27,27,27,欠,欠,
1821077,1,1,1,1,1,1,1,1,3,3,4,4,5,5,6,6,6,6,6,6,7,7,7,7,8,8,8,4,8,8,8,9,9,10,10,11,11,11,12,12,12,14,13,13,14,15,15,16,16,17,14,15,14,17,18,18,18,18,18,18,18,18,19,19,19,20,20,21,21,22,22,22,23,24,24,24,24,25,25,26,26,27,27,22,27,24,27,欠,欠,欠,欠,
1821078,欠,欠,欠,2,2,2,4,4,4,4,5,5,6,6,7,7,8,8,8,9,9,11,11,11,14,15,16,16,17,17,18,19,22,23,24,24,24,25,25,25,27,27,27,27,27,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,
1821079,6,6,7,7,7,8,8,8,9,11,14,16,11,17,17,19,20,20,20,23,24,24,24,25,27,27,27,27,27,27,27,27,27,27,27,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,
1821080,5,7,8,9,12,14,16,17,18,20,21,23,24,24,25,27,17,17,17,17,17,17,17,17,17,17,17,23,24,24,25,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,
1821081,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,
1821084,5,5,5,6,6,6,7,欠,8,8,9,11,14,16,17,17,17,17,18,18,18,18,19,19,20,22,23,24,24,24,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,欠,
1821085,欠,欠,欠,欠,欠,4,4,4,4,4,5,欠,6,6,6,6,7,7,7,7,7,8,7,5,8,8,8,8,8,8,9,9,10,欠,11,11,11,11,11,12,13,13,14,14,14,15,15,16,16,16,16,16,16,16,16,欠,欠,欠,欠,欠,欠,欠,欠,欠,20,20,20,20,20,20,20,20,20,20,20,20,21,25,26,17,19,24,27,27,23,欠,27,27,25,欠,欠,
1821086,欠,欠,欠,欠,欠,欠,欠,欠,4,欠,1,4,7,5,5,8,9,11,15,17,18,20,24,24,25,27,26,8,8,8,8,8,8,8,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,欠,
1821087,3,3,3,3,3,3,3,3,4,4,4,5,5,5,4,4,6,7,6,7,7,7,8,8,8,8,8,8,8,8,9,9,10,10,11,11,11,11,12,13,13,13,13,14,15,15,16,16,16,17,17,15,17,17,17,17,17,17,17,18,18,19,19,20,20,20,21,21,22,22,23,23,24,24,24,25,25,25,26,26,27,27,27,27,19,18,27,27,欠,欠,欠,
1821090,欠,欠,欠,欠,4,4,4,4,4,4,4,5,5,5,5,5,5,6,6,7,7,7,7,8,8,欠,8,4,8,8,9,9,9,9,11,11,11,11,12,12,12,12,12,12,14,15,15,16,16,16,17,11,11,17,17,17,17,17,17,18,18,18,20,19,20,20,21,21,21,21,23,22,24,24,22,24,25,27,23,27,27,27,27,27,27,27,27,27,27,27,欠,
1821093,1,1,1,1,1,1,1,4,4,4,5,5,5,5,5,5,6,6,7,7,8,8,8,9,9,9,8,8,9,9,9,9,10,10,11,11,12,12,12,13,13,13,13,14,14,15,15,16,17,17,17,17,17,17,17,17,17,17,17,18,18,19,19,20,20,20,21,21,22,22,23,23,24,24,24,25,25,25,26,27,27,27,27,27,27,欠,欠,欠,欠,欠,欠,
1821096,欠,欠,欠,欠,欠,1,2,3,3,4,4,4,5,5,5,6,6,6,6,6,7,7,7,8,8,8,5,5,8,8,9,9,11,10,11,11,11,11,11,欠,13,13,12,12,14,15,15,16,16,17,10,17,16,14,9,17,17,9,9,9,18,18,18,19,20,20,21,21,21,22,22,22,24,24,24,24,25,27,26,27,27,20,27,27,24,24,27,27,27,欠,欠,
1821097,欠,欠,欠,4,4,4,4,4,4,4,4,5,5,5,5,5,6,6,7,7,7,8,4,8,8,3,7,8,8,8,9,11,11,11,11,11,11,11,11,12,13,13,13,13,13,15,15,15,17,17,17,17,11,17,17,17,17,17,17,17,17,18,19,20,20,21,21,6,22,22,22,23,23,24,24,25,欠,27,27,24,27,27,24,25,27,27,27,27,欠,欠,欠,
